,model,k,mutations,kept,lost,diff_abs,diff_rel
359,LSTM_onehot_pretrained,2,19,0.2361178398132324,0.023922326043248177,0.21219551376998422,0.898684800512445
360,CNN_onehot,3,0,0.9792889952659608,0.9792889952659608,0.0,0.0
361,CNN_onehot,3,1,0.9741051197052002,0.9737743139266968,0.00033080577850341797,0.0003395996713408955
362,CNN_onehot,3,2,0.9652873873710632,0.9648340940475464,0.0004532933235168457,0.0004695941638183099
363,CNN_onehot,3,3,0.9514162540435792,0.9493870139122008,0.002029240131378396,0.0021328625853868077
364,CNN_onehot,3,4,0.933520257472992,0.9336518645286559,-0.00013160705566384046,-0.00014097932488366105
365,CNN_onehot,3,5,0.912742018699646,0.9091320037841796,0.0036100149154664196,0.003955131725621119
366,CNN_onehot,3,6,0.8769940733909607,0.879106342792511,-0.002112269401550293,-0.0024085332679422145
367,CNN_onehot,3,7,0.8530754446983337,0.8442767262458801,0.008798718452453613,0.010314115248698852
368,CNN_onehot,3,8,0.8133533000946045,0.8033657670021057,0.00998753309249878,0.01227945235033423
369,CNN_onehot,3,9,0.7576176524162292,0.7561637759208679,0.0014538764953613281,0.0019190108502944447
370,CNN_onehot,3,10,0.7074202895164491,0.6979886889457703,0.009431600570678822,0.013332386292066456
371,CNN_onehot,3,11,0.6580363512039185,0.6480643153190613,0.009972035884857178,0.01515423253838899
372,CNN_onehot,3,12,0.5935553908348083,0.5716915130615234,0.021863877773284912,0.0368354463810604
373,CNN_onehot,3,13,0.5286158919334412,0.5221467018127441,0.0064691901206970215,0.01223797887921152
374,CNN_onehot,3,14,0.4679001867771149,0.4429565072059631,0.024943679571151844,0.05330983033574599
375,CNN_onehot,3,15,0.40816375613212585,0.3744467794895172,0.03371697664260864,0.08260649343812432
376,CNN_onehot,3,16,0.3460852801799774,0.30703410506248474,0.039051175117492676,0.11283685656085862
377,CNN_onehot,3,17,0.2838083803653717,0.2426678240299225,0.04114055633544919,0.14495892010829736
378,CNN_onehot,3,18,0.22491003572940824,0.19225062429904927,0.03265941143035897,0.14521100103177198
379,CNN_onehot,3,19,0.1749727427959442,0.1337926834821701,0.04118005931377411,0.2353512818953687
380,CNN_onehot_pretrained,3,0,0.9995594024658204,0.9995594024658204,0.0,0.0
381,CNN_onehot_pretrained,3,1,0.9982703924179076,0.9981555938720704,0.0001147985458371803,0.00011499744629217545
382,CNN_onehot_pretrained,3,2,0.9956842660903932,0.99315744638443,0.0025268197059631348,0.0025377720548752647
383,CNN_onehot_pretrained,3,3,0.9854094386100768,0.9778264760971068,0.007582962512969971,0.007695240390294789
384,CNN_onehot_pretrained,3,4,0.9706105589866638,0.9613165259361268,0.009294033050536998,0.009575450178741285
385,CNN_onehot_pretrained,3,5,0.9552368521690368,0.9308249950408936,0.0244118571281432,0.025555815892897904
386,CNN_onehot_pretrained,3,6,0.922907292842865,0.8854936957359314,0.037413597106933594,0.04053884653103901
387,CNN_onehot_pretrained,3,7,0.8860402107238771,0.8259512782096863,0.060088932514190785,0.06781738772905055
388,CNN_onehot_pretrained,3,8,0.8377692699432373,0.7575319409370422,0.08023732900619507,0.09577497275787106
389,CNN_onehot_pretrained,3,9,0.7791588306427002,0.6823210716247559,0.09683775901794434,0.12428500481482874
390,CNN_onehot_pretrained,3,10,0.7276077866554259,0.5964410305023193,0.13116675615310658,0.1802712375523592
391,CNN_onehot_pretrained,3,11,0.6716152429580688,0.5052815079689026,0.16633373498916626,0.24766223925556585
