,model,k,mutations,kept,lost
38,CNN_onehot_pretrained,0,18,0.1564139574766159,0.02284026704728604
39,CNN_onehot_pretrained,0,19,0.11417713761329652,0.013770515099167824
40,CNN_matrix,0,0,0.9550087451934814,0.9550087451934814
41,CNN_matrix,0,1,0.945274531841278,0.9468565583229064
42,CNN_matrix,0,2,0.930433988571167,0.9265415668487548
43,CNN_matrix,0,3,0.9085612893104552,0.8983074426651001
44,CNN_matrix,0,4,0.8762577176094055,0.8616552948951721
45,CNN_matrix,0,5,0.8316556811332703,0.812824547290802
46,CNN_matrix,0,6,0.7789475917816162,0.7516810297966003
47,CNN_matrix,0,7,0.7327545285224915,0.6873360276222229
48,CNN_matrix,0,8,0.6704079508781433,0.6099722981452942
49,CNN_matrix,0,9,0.5991075038909912,0.5344780683517456
50,CNN_matrix,0,10,0.5488929152488708,0.44936251640319824
51,CNN_matrix,0,11,0.4837124645709992,0.383566290140152
52,CNN_matrix,0,12,0.42738911509513855,0.3087275326251984
53,CNN_matrix,0,13,0.371581494808197,0.2443400025367737
54,CNN_matrix,0,14,0.31760871410369873,0.1914089471101761
55,CNN_matrix,0,15,0.2692885398864746,0.1398199051618576
56,CNN_matrix,0,16,0.2323782444000244,0.09924080222845078
57,CNN_matrix,0,17,0.19710861146450048,0.07782173901796341
58,CNN_matrix,0,18,0.16148436069488525,0.05804147571325303
59,CNN_matrix,0,19,0.13283240795135498,0.04403849318623543
60,CNN_matrix_pretrained,0,0,0.9925849437713624,0.9925849437713624
61,CNN_matrix_pretrained,0,1,0.9876114726066588,0.9656316041946412
62,CNN_matrix_pretrained,0,2,0.9817823171615601,0.8685638904571533
63,CNN_matrix_pretrained,0,3,0.9722468852996826,0.7168230414390564
64,CNN_matrix_pretrained,0,4,0.9633498787879944,0.5204523205757141
65,CNN_matrix_pretrained,0,5,0.950069785118103,0.35422179102897644
66,CNN_matrix_pretrained,0,6,0.9400794506072998,0.22626641392707825
67,CNN_matrix_pretrained,0,7,0.929618775844574,0.13878364861011505
68,CNN_matrix_pretrained,0,8,0.9114249348640442,0.08029002696275711
69,CNN_matrix_pretrained,0,9,0.8967811465263367,0.0486435815691948
70,CNN_matrix_pretrained,0,10,0.8898084759712219,0.029754700139164925
71,CNN_matrix_pretrained,0,11,0.8837496042251587,0.01723324880003929
72,CNN_matrix_pretrained,0,12,0.8675528168678284,0.009536719880998136
73,CNN_matrix_pretrained,0,13,0.858171284198761,0.007224463857710362
74,CNN_matrix_pretrained,0,14,0.8375795483589172,0.006174571812152863
