,model,k,mutations,kept,lost
61,CNN_onehot,1,6,0.8396778684811129,0.8545981023358564
62,CNN_onehot,2,6,0.7535334350129806,0.7656343092850174
63,CNN_onehot,3,6,0.7854800008509515,0.7965554567580628
64,CNN_onehot,4,6,0.7719137243910605,0.7870312409475446
65,CNN_onehot,5,6,0.7957680345460515,0.7996058268021002
66,CNN_onehot,6,6,0.8156465177621806,0.8265693153299036
67,CNN_onehot,7,6,0.8345030965656042,0.8472328749972216
68,CNN_onehot,8,6,0.7863648122634428,0.8025405855255667
69,CNN_onehot,9,6,0.8179491019210158,0.8255726427887566
70,CNN_onehot,0,7,0.8341506819520146,0.8492877355621506
71,CNN_onehot,1,7,0.8392937896893391,0.8550673620294659
72,CNN_onehot,2,7,0.74343763478597,0.7450382956233289
73,CNN_onehot,3,7,0.7667461507283545,0.7855101617558233
74,CNN_onehot,4,7,0.7446015257698794,0.7521389721458157
75,CNN_onehot,5,7,0.7921240095030609,0.7978941182786626
76,CNN_onehot,6,7,0.8108926862617261,0.8144542209118308
77,CNN_onehot,7,7,0.8150797343455876,0.8253573008851769
78,CNN_onehot,8,7,0.7710554861039033,0.7720928138530557
79,CNN_onehot,9,7,0.8262803004328774,0.8366042384528009
80,CNN_onehot,0,8,0.8198984571718784,0.8156882576765148
81,CNN_onehot,1,8,0.8061839090211801,0.8059699121828157
82,CNN_onehot,2,8,0.7172143169702627,0.7252539677831991
83,CNN_onehot,3,8,0.6874058924272455,0.6986859652838244
84,CNN_onehot,4,8,0.7057433621876914,0.7226921966555866
85,CNN_onehot,5,8,0.7915379915465699,0.7950848267301389
86,CNN_onehot,6,8,0.7977204718057894,0.78862678648697
87,CNN_onehot,7,8,0.8055071797788318,0.8120192543227683
88,CNN_onehot,8,8,0.7589380773607696,0.7432263105972737
89,CNN_onehot,9,8,0.8120217515364884,0.8323132904286942
90,CNN_onehot,0,9,0.8112666409173659,0.8167342473501232
91,CNN_onehot,1,9,0.7554804783493567,0.7714058923606689
92,CNN_onehot,2,9,0.7045767611973448,0.6796723725987069
93,CNN_onehot,3,9,0.6621101871307473,0.6629924543046702
94,CNN_onehot,4,9,0.7006980613542673,0.7059409855458981
95,CNN_onehot,5,9,0.7969669830579407,0.7876758878573011
96,CNN_onehot,6,9,0.7490809082388877,0.7465558548743526
97,CNN_onehot,7,9,0.7656291903890293,0.7668045167670106
98,CNN_onehot,8,9,0.6890914015122689,0.6687640888331872
99,CNN_onehot,9,9,0.8084055542908609,0.8120464118892948
100,CNN_onehot_pretrained,0,0,0.9557245902476772,0.9557245905681324
101,CNN_onehot_pretrained,1,0,0.9173482480192824,0.9173482473097032
102,CNN_onehot_pretrained,2,0,0.92551091117967,0.925510911910119
103,CNN_onehot_pretrained,3,0,0.8764183375994664,0.8764183375994664
104,CNN_onehot_pretrained,4,0,0.9157754656799296,0.9157754650458376
105,CNN_onehot_pretrained,5,0,0.8617734244477976,0.8617734254196124
106,CNN_onehot_pretrained,6,0,0.9005503132785996,0.9005503119967793
107,CNN_onehot_pretrained,7,0,0.9595878219182512,0.959587820335827
108,CNN_onehot_pretrained,8,0,0.9377291931152212,0.9377291932657379
109,CNN_onehot_pretrained,9,0,0.8754956079571022,0.8754956073092256
110,CNN_onehot_pretrained,0,1,0.9431082184449852,0.9348176729149356
111,CNN_onehot_pretrained,1,1,0.9023867950146456,0.891683427847567
