,model,k,mutations,section
183,CNN_matrix,2,pad_right,0.9372744328884128
184,CNN_matrix,3,base,0.9384854837822226
185,CNN_matrix,3,pad_left,0.9337532080274976
186,CNN_matrix,3,stretch_left,0.9002569655867314
187,CNN_matrix,3,stem_left,0.7143807340646162
188,CNN_matrix,3,loop,0.9378898475088876
189,CNN_matrix,3,stem_right,0.6684280871710443
190,CNN_matrix,3,strech_right,0.5877528106182262
191,CNN_matrix,3,pad_right,0.9316192414034192
192,CNN_matrix,4,base,0.9494634154871938
193,CNN_matrix,4,pad_left,0.9516195809413308
194,CNN_matrix,4,stretch_left,0.9312208587166702
195,CNN_matrix,4,stem_left,0.7507872605338818
196,CNN_matrix,4,loop,0.9535301778526608
197,CNN_matrix,4,stem_right,0.7237729206581349
198,CNN_matrix,4,strech_right,0.7327454744384901
199,CNN_matrix,4,pad_right,0.9458069344183284
200,CNN_matrix,5,base,0.9278940143982332
201,CNN_matrix,5,pad_left,0.9210156020591124
202,CNN_matrix,5,stretch_left,0.8682855073775948
203,CNN_matrix,5,stem_left,0.6956008838648247
204,CNN_matrix,5,loop,0.9245346346744372
205,CNN_matrix,5,stem_right,0.6792611125965461
206,CNN_matrix,5,strech_right,0.5407985884129353
207,CNN_matrix,5,pad_right,0.9141706311497398
208,CNN_matrix,6,base,0.8512711328684642
209,CNN_matrix,6,pad_left,0.8356271457207459
210,CNN_matrix,6,stretch_left,0.7969620906323942
211,CNN_matrix,6,stem_left,0.7931988594833241
212,CNN_matrix,6,loop,0.856478958683736
213,CNN_matrix,6,stem_right,0.7674145777459427
214,CNN_matrix,6,strech_right,0.4517851541412988
215,CNN_matrix,6,pad_right,0.8431043160591929
216,CNN_matrix,7,base,0.9257583018161554
217,CNN_matrix,7,pad_left,0.914110503972104
218,CNN_matrix,7,stretch_left,0.8679350855911376
219,CNN_matrix,7,stem_left,0.8281560518902488
220,CNN_matrix,7,loop,0.9248746918453932
221,CNN_matrix,7,stem_right,0.8284093204676929
222,CNN_matrix,7,strech_right,0.5033014161210057
223,CNN_matrix,7,pad_right,0.9114110996062074
224,CNN_matrix,8,base,0.9125056267349104
225,CNN_matrix,8,pad_left,0.910711616543294
226,CNN_matrix,8,stretch_left,0.8397073999204068
227,CNN_matrix,8,stem_left,0.6819826561506047
228,CNN_matrix,8,loop,0.9229469506584284
229,CNN_matrix,8,stem_right,0.6746295302667301
230,CNN_matrix,8,strech_right,0.5509090320544273
231,CNN_matrix,8,pad_right,0.894754204450031
232,CNN_matrix,9,base,0.9096363536461824
233,CNN_matrix,9,pad_left,0.9117954121357628
234,CNN_matrix,9,stretch_left,0.850698992115297
235,CNN_matrix,9,stem_left,0.7197652115791098
236,CNN_matrix,9,loop,0.9120900434106116
237,CNN_matrix,9,stem_right,0.6900884116525707
238,CNN_matrix,9,strech_right,0.5793512770061657
239,CNN_matrix,9,pad_right,0.8924542379647366
240,CNN_matrix_pretrained,0,base,0.9780282412545496
241,CNN_matrix_pretrained,0,pad_left,0.9761937615017684
242,CNN_matrix_pretrained,0,stretch_left,0.9592196901412312
243,CNN_matrix_pretrained,0,stem_left,0.42715300625694186
244,CNN_matrix_pretrained,0,loop,0.9762962727206608
245,CNN_matrix_pretrained,0,stem_right,0.4043946977419358
246,CNN_matrix_pretrained,0,strech_right,0.9125514393218368
247,CNN_matrix_pretrained,0,pad_right,0.9758180535985924
248,CNN_matrix_pretrained,1,base,0.9727215997519948
249,CNN_matrix_pretrained,1,pad_left,0.970439196945656
250,CNN_matrix_pretrained,1,stretch_left,0.962687532355388
251,CNN_matrix_pretrained,1,stem_left,0.44335752749364704
252,CNN_matrix_pretrained,1,loop,0.9718794414987936
253,CNN_matrix_pretrained,1,stem_right,0.40854876738546103
254,CNN_matrix_pretrained,1,strech_right,0.9135140064004292
255,CNN_matrix_pretrained,1,pad_right,0.9720601994943406
256,CNN_matrix_pretrained,2,base,0.9678971605037576
257,CNN_matrix_pretrained,2,pad_left,0.9640966855806721
258,CNN_matrix_pretrained,2,stretch_left,0.9475954342708052
259,CNN_matrix_pretrained,2,stem_left,0.3648613131124209
260,CNN_matrix_pretrained,2,loop,0.9649031467285324
261,CNN_matrix_pretrained,2,stem_right,0.3407023073738636
262,CNN_matrix_pretrained,2,strech_right,0.8852227785851308
263,CNN_matrix_pretrained,2,pad_right,0.9619460851386238
264,CNN_matrix_pretrained,3,base,0.9392857605611884
265,CNN_matrix_pretrained,3,pad_left,0.9386044510745959
266,CNN_matrix_pretrained,3,stretch_left,0.9223726917917912
267,CNN_matrix_pretrained,3,stem_left,0.27757645639285594
268,CNN_matrix_pretrained,3,loop,0.9396869153882832
269,CNN_matrix_pretrained,3,stem_right,0.24673892280518425
270,CNN_matrix_pretrained,3,strech_right,0.8364457444388474
271,CNN_matrix_pretrained,3,pad_right,0.9377555132969776
272,CNN_matrix_pretrained,4,base,0.9556655181210212
273,CNN_matrix_pretrained,4,pad_left,0.9509484662568686
274,CNN_matrix_pretrained,4,stretch_left,0.9109016466119608
275,CNN_matrix_pretrained,4,stem_left,0.2847325367427015
276,CNN_matrix_pretrained,4,loop,0.9588536499784795
277,CNN_matrix_pretrained,4,stem_right,0.25933517773531656
278,CNN_matrix_pretrained,4,strech_right,0.8234739057328354
279,CNN_matrix_pretrained,4,pad_right,0.9497347176396982
280,CNN_matrix_pretrained,5,base,0.9437635987794594
281,CNN_matrix_pretrained,5,pad_left,0.9400893634070466
282,CNN_matrix_pretrained,5,stretch_left,0.9354932256002464
283,CNN_matrix_pretrained,5,stem_left,0.3382093356573023
284,CNN_matrix_pretrained,5,loop,0.9513277396691316
285,CNN_matrix_pretrained,5,stem_right,0.31147518562763743
286,CNN_matrix_pretrained,5,strech_right,0.8969014111349521
287,CNN_matrix_pretrained,5,pad_right,0.9429606860867984
288,CNN_matrix_pretrained,6,base,0.9369621797494828
289,CNN_matrix_pretrained,6,pad_left,0.9313937136501168
290,CNN_matrix_pretrained,6,stretch_left,0.9054071370589024
291,CNN_matrix_pretrained,6,stem_left,0.3835934537316015
292,CNN_matrix_pretrained,6,loop,0.9395479265029631
293,CNN_matrix_pretrained,6,stem_right,0.3660785054946552
294,CNN_matrix_pretrained,6,strech_right,0.8311060835106638
295,CNN_matrix_pretrained,6,pad_right,0.9350026303561784
296,CNN_matrix_pretrained,7,base,0.9687955529816384
297,CNN_matrix_pretrained,7,pad_left,0.9718505466054674
298,CNN_matrix_pretrained,7,stretch_left,0.9340188195220136
299,CNN_matrix_pretrained,7,stem_left,0.3918725936455174
300,CNN_matrix_pretrained,7,loop,0.9697667591999064
301,CNN_matrix_pretrained,7,stem_right,0.3501500534086013
302,CNN_matrix_pretrained,7,strech_right,0.9059651678697286
303,CNN_matrix_pretrained,7,pad_right,0.9738136941484644
304,CNN_matrix_pretrained,8,base,0.9597390776105
305,CNN_matrix_pretrained,8,pad_left,0.9536999587339634
306,CNN_matrix_pretrained,8,stretch_left,0.9303168782493983
307,CNN_matrix_pretrained,8,stem_left,0.3148778589030019
308,CNN_matrix_pretrained,8,loop,0.9632221223350602
309,CNN_matrix_pretrained,8,stem_right,0.31503071887559736
310,CNN_matrix_pretrained,8,strech_right,0.8722764786219959
311,CNN_matrix_pretrained,8,pad_right,0.9534438196394078
312,CNN_matrix_pretrained,9,base,0.9620057468747965
313,CNN_matrix_pretrained,9,pad_left,0.9541406320585141
314,CNN_matrix_pretrained,9,stretch_left,0.9475014616316859
315,CNN_matrix_pretrained,9,stem_left,0.43479297987250376
316,CNN_matrix_pretrained,9,loop,0.9641797573611888
317,CNN_matrix_pretrained,9,stem_right,0.3717651657225308
318,CNN_matrix_pretrained,9,strech_right,0.881714568103527
319,CNN_matrix_pretrained,9,pad_right,0.9603304681457592
320,LSTM_onehot,0,base,0.9242945869843806
321,LSTM_onehot,0,pad_left,0.9114968381094408
322,LSTM_onehot,0,stretch_left,0.899405812181025
323,LSTM_onehot,0,stem_left,0.9052736248430884
324,LSTM_onehot,0,loop,0.9311339680092096
325,LSTM_onehot,0,stem_right,0.8826757511088965
326,LSTM_onehot,0,strech_right,0.4334983915522059
327,LSTM_onehot,0,pad_right,0.9160656019144
328,LSTM_onehot,1,base,0.8710115203589556
329,LSTM_onehot,1,pad_left,0.8297613087775452
330,LSTM_onehot,1,stretch_left,0.8133688803333493
331,LSTM_onehot,1,stem_left,0.8499088541312616
332,LSTM_onehot,1,loop,0.8795891828262173
333,LSTM_onehot,1,stem_right,0.8231685732587404
334,LSTM_onehot,1,strech_right,0.4009158578932993
335,LSTM_onehot,1,pad_right,0.8555667238945645
336,LSTM_onehot,2,base,0.8665318079292774
337,LSTM_onehot,2,pad_left,0.8199612001693668
338,LSTM_onehot,2,stretch_left,0.8035985876845646
339,LSTM_onehot,2,stem_left,0.8384785562336713
340,LSTM_onehot,2,loop,0.8741996869024838
341,LSTM_onehot,2,stem_right,0.8308768855444356
342,LSTM_onehot,2,strech_right,0.4234945342736015
343,LSTM_onehot,2,pad_right,0.8560842307211429
344,LSTM_onehot,3,base,0.8990062590321309
345,LSTM_onehot,3,pad_left,0.8770650501513136
346,LSTM_onehot,3,stretch_left,0.8604120130944309
347,LSTM_onehot,3,stem_left,0.8605796604648389
348,LSTM_onehot,3,loop,0.8990717807827746
349,LSTM_onehot,3,stem_right,0.8522534723168251
350,LSTM_onehot,3,strech_right,0.4704646323858861
351,LSTM_onehot,3,pad_right,0.8917413433102871
352,LSTM_onehot,4,base,0.8900703546452395
353,LSTM_onehot,4,pad_left,0.8595104950486768
354,LSTM_onehot,4,stretch_left,0.8361850339153134
355,LSTM_onehot,4,stem_left,0.8751422737692054
356,LSTM_onehot,4,loop,0.8965221717095015
357,LSTM_onehot,4,stem_right,0.8554038657773788
358,LSTM_onehot,4,strech_right,0.4990150855654348
359,LSTM_onehot,4,pad_right,0.8748316973579903
360,LSTM_onehot,5,base,0.8624642881078889
361,LSTM_onehot,5,pad_left,0.8322867591860299
362,LSTM_onehot,5,stretch_left,0.8093801089017517
363,LSTM_onehot,5,stem_left,0.8305570307774031
364,LSTM_onehot,5,loop,0.8769187643594257
365,LSTM_onehot,5,stem_right,0.8112097317747691
366,LSTM_onehot,5,strech_right,0.4369473420898535
367,LSTM_onehot,5,pad_right,0.8504495749192691
368,LSTM_onehot,6,base,0.8790331860373337
369,LSTM_onehot,6,pad_left,0.8473050634358346
370,LSTM_onehot,6,stretch_left,0.8284904073750455
371,LSTM_onehot,6,stem_left,0.8510640002871817
372,LSTM_onehot,6,loop,0.8920402507738321
373,LSTM_onehot,6,stem_right,0.8054357101234497
374,LSTM_onehot,6,strech_right,0.4170906672243356
375,LSTM_onehot,6,pad_right,0.8703943583566869
376,LSTM_onehot,7,base,0.9521220219610012
377,LSTM_onehot,7,pad_left,0.9277542727798841
